employee_id,first_name,last_name,age,designation,date_of_birth,years_of_experience,salary,email,gender
STA-28,Vyky,Saffrin,47,Product Manager,01-06-1977,24,99686.54,vyky.saffrin@msn.com,male
STA-29,Helsa,Graham,39,Business Analyst,27-12-1953,11,72930.08,helsa.graham@gmx.de,female
STA-3,Nanny,Sloat,43,Business Analyst,30-10-1988,27,100855.53,nanny.sloat@yahoo.com,female
STA-30,Lisetta,Scotchmer,56,Data Analyst,23-08-1989,22,76071.05,lisetta.scotchmer@hotmail.com,male
STA-31,Krissy,Aronoff,40,Business Analyst,25-11-1991,11,70469.34,krissy.aronoff@hotmail.com,female
STA-32,Colver,Groneway,58,Data Analyst,07-11-1945,41,69429.75,colver.groneway@wanadoo.fr,male
STA-33,Gert,Grossier,19,Quality Assurance Engineer,27-08-1955,44,88691.92,gert.grossier@hotmail.com,female
STA-34,Pryce,Maxsted,49,HR Specialist,30-07-1985,9,91038.99,pryce.maxsted@yahoo.com,male
STA-35,Wolfgang,Peirone,53,Product Manager,23-06-1983,41,105902.46,wolfgang.peirone@hotmail.co.uk,female
STA-36,Ray,Cogdell,66,Quality Assurance Engineer,25-01-1975,36,94420.07,ray.cogdell@aol.com,male
STA-37,Yves,Pietraszek,30,Software Engineer,05-03-1992,49,91384.27,yves.pietraszek@hotmail.com,female
STA-38,Giffy,Pinkett,42,Quality Assurance Engineer,23-08-2004,14,94925.66,giffy.pinkett@gmail.com,male
STA-39,Judas,Sandcroft,34,Marketing Coordinator,22-08-2002,45,91857.77,judas.sandcroft@hotmail.com,female
STA-4,Ximenez,Keohane,59,Product Manager,11-02-1950,26,87367.49,ximenez.keohane@yahoo.com,male
STA-40,Nanci,Michurin,19,HR Specialist,13-12-1989,2,82067.53,nanci.michurin@yahoo.com,male
STA-41,Vinni,Keitley,49,Sales Executive,19-09-1987,25,88341.02,vinni.keitley@yahoo.com,female
STA-42,Lennie,Foro,25,Data Analyst,19-11-1981,3,72734.37,lennie.foro@rocketmail.com,male
STA-43,Roshelle,Goman,22,Project Manager,06-05-1955,47,101479.1,roshelle.goman@yahoo.com,female
STA-44,Daryl,Scoterbosh,41,Marketing Coordinator,14-10-1957,6,75149.61,daryl.scoterbosh@yahoo.com,male
STA-45,Huey,Knaggs,51,Data Analyst,13-09-1970,29,99346.72,huey.knaggs@gmail.com,female
STA-46,Pauly,Keynes,55,Sales Executive,02-03-1976,39,86533.18,pauly.keynes@libero.it,male
STA-47,Cleon,Maiden,40,Software Engineer,12-12-1992,40,92534.06,cleon.maiden@gmail.com,female
STA-48,Abner,Barday,38,Data Analyst,31-01-1960,9,83278.47,abner.barday@gmail.com,male
STA-49,Mahala,Hayto,46,Software Engineer,21-03-1951,17,81795.6,mahala.hayto@aol.com,female
STA-5,Kim,Sinott,34,Marketing Coordinator,07-07-1965,7,74151.83,kim.sinott@hotmail.com,female
STA-50,Errol,Kares,26,HR Specialist,19-07-1972,5,78623.24,errol.kares@hotmail.com,male
STA-51,Nick,Livingston,52,HR Specialist,12-08-1970,35,87719.7,nick.livingston@hotmail.com,female
STA-52,Jessey,Dripps,57,Product Manager,19-11-1945,29,74091.39,jessey.dripps@yahoo.com,male
STA-53,Yetty,Tattershaw,61,Software Engineer,16-09-1972,1,68363.44,yetty.tattershaw@hotmail.com,female
STA-54,Graig,Blenkharn,33,Sales Executive,03-03-1968,33,90706.51,graig.blenkharn@gmail.com,male
STA-55,Ferdie,Myles,48,Customer Support Representative,04-02-1946,22,90645.72,ferdie.myles@yahoo.com,female
STA-56,Katleen,Smallpeice,23,Project Manager,30-01-1991,48,100436.76,katleen.smallpeice@tiscali.it,male
STA-57,Camille,Athy,30,Software Engineer,11-01-2007,0,75447.43,camille.athy@yahoo.com,female
STA-58,Reynard,Jirasek,55,HR Specialist,24-06-1966,3,72473.13,reynard.jirasek@hotmail.com,male
STA-59,Fayth,Pech,45,Quality Assurance Engineer,04-02-1978,30,94745.59,fayth.pech@hotmail.com,female
STA-6,Gayle,Enochsson,24,Business Analyst,16-08-1970,16,94222.78,gayle.enochsson@aol.com,male
STA-60,Venus,Peppard,63,Quality Assurance Engineer,13-09-2005,6,84650.14,venus.peppard@hotmail.co.uk,male
STA-61,Illa,Gathercoal,32,Customer Support Representative,13-11-1974,44,98752.1,illa.gathercoal@yahoo.co.uk,female
STA-62,Burty,Syrie,35,Business Analyst,29-01-1967,34,69826.4,burty.syrie@hotmail.com,male
STA-63,Skippie,Morforth,36,Quality Assurance Engineer,31-03-1997,22,95611.56,skippie.morforth@hotmail.com,female
STA-64,Georgianna,Smallwood,49,Marketing Coordinator,17-06-1982,5,79576.11,georgianna.smallwood@yahoo.com,male
STA-65,Jesse,Beakes,58,Sales Executive,31-05-1986,9,87457.83,jesse.beakes@mail.ru,female
STA-66,Lee,Bains,48,Product Manager,06-04-1980,0,83624.83,lee.bains@aol.com,male
STA-67,Vladimir,Kilmartin,18,Customer Support Representative,04-05-1997,34,92752.34,vladimir.kilmartin@yahoo.fr,female
STA-68,Stacee,Schout,23,Marketing Coordinator,02-05-1948,49,78610.22,stacee.schout@gmx.de,male
STA-69,Carroll,Kemshell,22,Customer Support Representative,15-05-1992,11,85746.16,carroll.kemshell@sbcglobal.net,female
STA-7,Sharona,Osselton,67,HR Specialist,23-05-1961,15,100117.92,sharona.osselton@hotmail.com,female
STA-70,Aldo,Gilhool,39,Data Analyst,09-06-1952,3,78789.5,aldo.gilhool@sfr.fr,male
STA-71,Raine,Gregori,62,Data Analyst,21-12-2004,11,99951.9,raine.gregori@gmail.com,female
STA-72,Fiorenze,Cato,36,HR Specialist,09-08-1955,24,82069.31,fiorenze.cato@yahoo.fr,male
STA-73,Ansel,Lyokhin,37,Quality Assurance Engineer,05-08-1954,47,86747.62,ansel.lyokhin@aol.com,female
STA-74,Corbet,Manklow,37,Data Analyst,31-01-1997,22,100266.42,corbet.manklow@rediffmail.com,male
STA-75,Patrick,Withams,41,HR Specialist,02-04-1981,39,105232.39,patrick.withams@ig.com.br,female
STA-76,Archibaldo,Hurdle,64,Marketing Coordinator,13-01-1985,31,75540.63,archibaldo.hurdle@yahoo.com,male
STA-77,Kienan,Alder,65,Business Analyst,28-07-1953,3,78321.86,kienan.alder@yahoo.com,female
STA-78,Christa,Wilde,22,Customer Support Representative,12-10-1993,33,69972.09,christa.wilde@gmail.com,male
STA-79,Lamont,Belcher,69,Software Engineer,12-04-1963,15,104684.97,lamont.belcher@yahoo.com,female
STA-8,Giacopo,Egle,36,HR Specialist,22-08-1991,48,81116.02,giacopo.egle@hotmail.com,male
STA-80,Brena,Treneer,42,Marketing Coordinator,28-02-1982,21,76194.23,brena.treneer@gmail.com,male
STA-81,Mattheus,Espinosa,18,Marketing Coordinator,16-09-1952,37,91468.98,mattheus.espinosa@gmail.com,female
STA-82,Annette,Gobeaux,53,HR Specialist,16-08-1989,44,82477.61,annette.gobeaux@gmail.com,male
STA-83,Tailor,Jankin,24,Project Manager,11-03-2002,49,82240.55,tailor.jankin@wanadoo.fr,female
STA-84,Seamus,Robeiro,60,Product Manager,19-03-1948,4,104343.71,seamus.robeiro@hotmail.com,male
STA-85,Rorke,Leifer,69,Sales Executive,21-03-1986,22,85004.93,rorke.leifer@gmx.net,female
STA-86,Nicolea,Corkell,61,Project Manager,09-09-1996,48,74784.06,nicolea.corkell@yahoo.com,male
STA-87,Joyann,Pundy,18,Sales Executive,12-04-1962,3,76171.75,joyann.pundy@yahoo.co.jp,female
STA-88,Theresa,Skains,42,Sales Executive,10-05-1984,14,67891.37,theresa.skains@home.nl,male
STA-89,Colas,Pavy,50,Project Manager,08-06-1974,5,80553.31,colas.pavy@hotmail.com,female
STA-9,Margaret,Ferroni,64,Business Analyst,19-06-1950,40,74914.59,margaret.ferroni@yahoo.com,female
STA-90,Marissa,Sharpling,33,Product Manager,07-04-2001,8,88077.78,marissa.sharpling@gmail.com,male
STA-91,Kath,Bradnum,49,Data Analyst,04-01-1996,22,88746.13,kath.bradnum@yahoo.com,female
STA-92,Ursuline,Bargery,21,Software Engineer,12-06-1997,4,80728.41,ursuline.bargery@gmail.com,male
STA-93,Ilyssa,Ayscough,30,Data Analyst,03-06-1979,24,74918.85,ilyssa.ayscough@gmail.com,female
STA-94,Gardner,Sand,43,Marketing Coordinator,30-07-1951,37,98094.13,gardner.sand@ig.com.br,male
STA-95,Levey,Dupey,32,Sales Executive,01-08-1949,9,90314.18,levey.dupey@planet.nl,female
STA-96,Marylinda,Weedon,38,Project Manager,21-09-1945,4,75161.18,marylinda.weedon@hotmail.com,male
STA-97,Morissa,Rudham,46,Project Manager,04-05-1986,2,83266.68,morissa.rudham@hotmail.com,female
STA-98,Selia,Castree,23,Customer Support Representative,18-06-1968,5,92301.41,selia.castree@hotmail.fr,male
STA-99,Heather,Courtney,23,Quality Assurance Engineer,24-04-2000,34,105120.2,heather.courtney@yahoo.com,female
